,,Mês,Ano,Tmáx,Tmin,ETP
,,2,1998,31.1232142857143,22.2382142857143,3.68914470374562
,,3,1998,29.8438709677419,20.9793548387097,3.6124156939871
,,4,1998,27.3023333333333,18.1123333333333,3.04791935526928
,,5,1998,23.3703225806452,13.1074193548387,2.59634546322836
,,6,1998,23171,12.0223333333333,2.04524509637973
,,7,1998,25.89,13.6583870967742,1.80506331908634
,,8,1998,26.4529032258064,15.1270967741935,1.66837019970404
,,9,1998,26029,15.2246666666667,1.73943651418177
,,10,1998,28.5022580645161,18.0345161290323,2.26113737478272
,,11,1998,30.1583333333333,19.0573333333333,3.0451365297921
,,12,1998,30.2970967741935,19.4948387096774,3.45946039438994
,,1,1999,30.6667741935484,21.4458064516129,3.67694538187319
,,2,1999,30.7446428571429,21.6264285714286,3.82232660259165
,,3,1999,30.8387096774194,21.36,3.81941174850223
,,4,1999,28.1206666666667,16.7623333333333,3.41937747847775
,,5,1999,25.2961290322581,12.6587096774194,2.78386390312377
,,6,1999,23.8006666666667,12.2136666666667,2.23894861782047
,,7,1999,24.5422580645161,12.6025806451613,1.78045687225458
,,8,1999,28.1116129032258,12.1470967741935,1.56626333193584
,,9,1999,31.4773333333333,15.6156666666667,1.81525500985074
,,10,1999,34.0070967741935,18.3654838709677,2.3367789103311
,,11,1999,32.9393333333333,17.5543333333333,2.96939372271739
,,12,1999,34.091935483871,21.6661290322581,3.73262935069904
,,1,2000,34.478064516129,22.2725806451613,4.08948243647025
,,2,2000,32.0489655172414,21.5437931034483,3.93949655883724
,,3,2000,29.6735483870968,20.468064516129,3.5679373525156
,,4,2000,30.6576666666667,17.49,3.82031619544503
,,5,2000,25.4967741935484,12.7383870967742,2.9421512743961
,,6,2000,24.9083333333333,14071,2.22822270082142
,,7,2000,21.6054838709677,7.68516129032258,1.5858606014718
,,8,2000,27.3151612903226,13.8406451612903,1.65313556206793
,,9,2000,26.2466666666667,15272,1.58740982177742
,,10,2000,30.7748387096774,18.4709677419355,2.36416422083024
,,11,2000,29.9243333333333,19.0476666666667,2.85544823921912
,,12,2000,30.0341935483871,19.6709677419355,3.26435940008044
,,1,2001,30.4667741935484,21.2116129032258,3.5387627267469
,,2,2001,29.1014285714286,21.5042857142857,3.38498247578179
,,3,2001,29.4132258064516,20.7158064516129,3.65430493232298
,,4,2001,28.8443333333333,19.2196666666667,3.47672679474738
,,5,2001,23.4867741935484,13.2283870967742,2.72125499431095
,,6,2001,22.0253333333333,10.9656666666667,2.28284983707771
,,7,2001,25.1109677419355,11.6664516129032,1.90875954537428
,,8,2001,29.638064516129,14.3538709677419,1.80989647047069
,,9,2001,30.0156666666667,16.2406666666667,1.78116929775594
,,10,2001,30.3687096774194,17.4567741935484,2.23843895844466
,,11,2001,30.1743333333333,20.6666666666667,2.61623295647864
,,12,2001,28.8474193548387,18.9167741935484,3.15626466474132
,,1,2002,30.6522580645161,20.2474193548387,3.54425359872994
,,2,2002,29.8071428571429,19.6707142857143,3.67869187625432
,,3,2002,32.4093548387097,21.8387096774194,4.01556037686902
,,4,2002,34.3203333333333,20.8583333333333,4.19929654396867
,,5,2002,27.5093548387097,17.0448387096774,3.07355977343627
,,6,2002,26.9046666666667,14.2723333333333,2.72534049326129
,,7,2002,25.4429032258065,11.8041935483871,1.98457330803392
,,8,2002,30.76,15.1141935483871,1.80960362274322
,,9,2002,31.0373333333333,14.8673333333333,1.65146266232425
,,10,2002,35.7383870967742,21.5309677419355,2.37001675756798
,,11,2002,31.7213333333333,19.9566666666667,2.62801254483582
,,12,2002,31.0612903225806,21.8209677419355,3.12050597811203
,,1,2003,30.5609677419355,22.0609677419355,3.47176307367946
,,2,2003,29.88,21.6507142857143,3.49476542543911
,,3,2003,29.7183870967742,20.2264516129032,3.69816610743657
,,4,2003,27.2093333333333,16244,3.53459048207493
,,5,2003,24.5712903225807,11.9996774193548,3.11398725783968
,,6,2003,26.2556666666667,13.7836666666667,2.84875316481414
,,7,2003,26.1406451612903,12.7887096774194,2.16553924153439
,,8,2003,24.9964516129032,9.44387096774194,1.57634111208364
,,9,2003,29076,14.7276666666667,1.68857065546303
,,10,2003,31.0732258064516,17.9561290322581,1.97624118999388
,,11,2003,32103,18.5566666666667,2.57631185278234
,,12,2003,30.0241935483871,20.9629032258065,2.84909992536538
,,1,2004,32.5751612903226,20.7425806451613,3.87711987556752
,,2,2004,33.9737931034483,20.7013793103448,4.20684861941092
,,3,2004,33.3445161290323,19.5170967741936,4.31247044387186
,,4,2004,30.6756666666667,19.81,3.6978905377071
,,5,2004,21.9635483870968,12.4829032258065,2.7473028800576
,,6,2004,22695,12.3886666666667,2.52124003727552
,,7,2004,22.5338709677419,11.8761290322581,1.96907992619869
,,8,2004,25.4903225806452,11.7767741935484,1.78344685538639
,,9,2004,30.5006666666667,15697,1.82300323990055
,,10,2004,29.1538709677419,16.8551612903226,1.85113305555065
,,11,2004,29064,18124,2.38370273624581
,,12,2004,29.641935483871,19.5787096774194,2.91350495831589
,,1,2005,29.5441935483871,21.7574193548387,3.2216852441607
,,2,2005,32.0425,20.6482142857143,3.96186229191706
,,3,2005,35.2790322580645,20.9993548387097,4.41721050100459
,,4,2005,32.5016666666667,20.0946666666667,3.99280066227796
,,5,2005,27.7609677419355,14.6822580645161,3.35902566787332
,,6,2005,27053,15.3373333333333,2.87957442186468
,,7,2005,23.9958064516129,10.3422580645161,2.13697514060947
,,8,2005,30.1096774193548,13.2067741935484,1.86896579280937
,,9,2005,26122,13021,1.51700052594166
,,10,2005,29.1509677419355,19.1796774193548,1.85547551484648
,,11,2005,29.9643333333333,18.9376666666667,2.30341060782758
,,12,2005,30.5135483870968,20.3803225806452,2.86429462114879
,,1,2006,33.4445161290323,21.8470967741935,3.80440998881993
,,2,2006,31.3142857142857,20.7425,3.86014571477968
,,3,2006,31.6290322580645,21.1774193548387,3.94977867874064
,,4,2006,28176,17566,3.6478145606493
,,5,2006,25.0732258064516,10.868064516129,3.44998473654015
,,6,2006,26717,13.6393333333333,2.99696154830233
,,7,2006,28.25,13.4383870967742,2.48227651392198
,,8,2006,28.991935483871,13.1935483870968,1.89537334909021
,,9,2006,28.5633333333333,14395,1.62642013152445
,,10,2006,31.17,20.4932258064516,1.8812916964137
,,11,2006,31849,19841,2.35126957832527
,,12,2006,30.1445161290323,22.1561290322581,2.57803896970988
,,1,2007,29.4087096774194,22.2712903225806,2.89859006464816
,,2,2007,29.3657142857143,21.4157142857143,3.36974553502816
,,3,2007,30.0983870967742,20.068064516129,3.88735514445729
,,4,2007,28.8993333333333,18.6326666666667,3.63874351938324
,,5,2007,24.5529032258065,12.7558064516129,3.06840032920394
,,6,2007,26.2193333333333,11898,3.10428861521785
,,7,2007,23.5922580645161,10.0716129032258,2.2423330414694
,,8,2007,27.441935483871,12.4954838709677,1.98895925985187
,,9,2007,34284,17421,1.83494296842338
,,10,2007,35.1687096774193,20.7722580645161,1.97438321348775
,,11,2007,30.8956666666667,18627,2.10087364845458
,,12,2007,32.2993548387097,21.1416129032258,2.90957042597212
,,1,2008,30.3016129032258,20.9964516129032,3.18107879326688
,,2,2008,30.3610344827586,20.5955172413793,3.59932775461625
,,3,2008,29.5035483870968,19.2029032258065,3.72316239592
,,4,2008,28.1213333333333,17.2313333333333,3.59566811310022
,,5,2008,25.031935483871,13.0051612903226,3.25869767117743
,,6,2008,23.6816666666667,11.8366666666667,2.83226871916645
,,7,2008,28.8987096774193,13.5245161290323,2.76466098529452
,,8,2008,28.2641935483871,14.4783870967742,2.13139902395462
,,9,2008,29.3803333333333,12.8296666666667,1.69408382321981
,,10,2008,32.8893548387097,19.6012903225806,1.84269115623233
,,11,2008,31248,20.1063333333333,2.11008721474926
,,12,2008,34.6522580645161,20.7574193548387,2.93412078954906
,,1,2009,31.7993548387097,21.0512903225806,3.21922186502898
,,2,2009,31.8760714285714,21.9442857142857,3.65781412300951
,,3,2009,33.1222580645161,21.2029032258064,4.1815946081023
