Mês,Ano,Tmáx,Tmin,ETP
5,2012,25.9909677419355,14.5577419354839,3.3779233291249
6,2012,23.8143333333333,13.1993333333333,3.05869655807942
7,2012,23.3058064516129,11.611935483871,2.79310036790081
8,2012,28.9448387096774,14.6125806451613,2.59867234136058
9,2012,32246,15.6156666666667,2.04404022265084
10,2012,32.4470967741935,19.6006451612903,1.84464010787478
11,2012,33.8626666666667,21.5853333333333,1.9929634828026
12,2012,33.5964516129032,23.3364516129032,2.37241553865043
1,2013,33.5048387096774,21.1529032258064,3.07295428963703
2,2013,32.0989285714286,22.0596428571429,3.4196649795118
3,2013,30.4841935483871,20.2077419354839,3.67233874924906
4,2013,27.1336666666667,16.2963333333333,3.67530908611967
5,2013,26.1116129032258,14.6774193548387,3.50151761870678
6,2013,24.0096666666667,14.6803333333333,3.03108335981177
7,2013,23.0832258064516,11.0809677419355,2.80577304120645
8,2013,24.5064516129032,10.5548387096774,2.40583878416562
9,2013,29.0903333333333,14531,2.02425699332318
10,2013,29.2254838709677,17.6845161290323,1.72160965741283
11,2013,31.7283333333333,19.8106666666667,1.83504393877444
12,2013,33.63,22.4241935483871,2.31431628976722
1,2014,31.7670967741935,21.8451612903226,2.78589122076918
2,2014,33.9839285714286,22.1196428571429,3.61209811976533
3,2014,30.5383870967742,20.0512903225806,3.58764485063876
4,2014,29.0023333333333,18.6163333333333,3.70763301775366
5,2014,25.4774193548387,14.721935483871,3.38452338474534
6,2014,24679,14.0416666666667,3.08202308597897
7,2014,24.0477419354839,11.8990322580645,2.88858058794143
8,2014,28.9667741935484,13.9564516129032,2.8386874100128
9,2014,32.5506666666667,18.1386666666667,2.30857266569419
10,2014,34.7683870967742,20.1909677419355,2.0478929437311
11,2014,32.7826666666667,20946,1.85477271913282
12,2014,33.5309677419355,22.4177419354839,2.1936978268536
1,2015,33.8709677419355,23.4132258064516,2.82367401467716
2,2015,33.3821428571429,22.6935714285714,3.42079091784341
3,2015,33.4332258064516,21.1845161290323,4.03271308138791
4,2015,31.3473333333333,19302,4.01526973773328
5,2015,26.77,15.88,3.42037142398274
6,2015,27.4236666666667,13.8433333333333,3.56274139477307
7,2015,24.2777419354839,13.4577419354839,2.91459044860122
8,2015,30.6809677419355,14.7435483870968,3.04529929214503
9,2015,31125,16.7726666666667,2.35447333213226
10,2015,30.9061290322581,19.9916129032258,1.92406083737583
11,2015,30.0633333333333,21443,1.71464216299626
12,2015,29.5687096774194,22.4774193548387,1.82372276717251
1,2016,29.9064516129032,22.1448387096774,2.36473000015496
2,2016,30.448275862069,22.7624137931034,2.88813174774116
3,2016,29.7954838709677,19.3761290322581,3.54388368249543
4,2016,31.4643333333333,19456,4.04372063117648
5,2016,23.7625806451613,13.8112903225807,3.28194935944919
6,2016,21.0866666666667,10265,3.03181281414462
7,2016,24.1822580645161,11.5258064516129,3.14919986903838
8,2016,26.338064516129,13.111935483871,2.82068386001573
9,2016,26967,12.4596666666667,2.29517316805271
10,2016,29.6816129032258,17.6432258064516,1.88773474235236
11,2016,31.3173333333333,18503,1.76617148326705
12,2016,30.6635483870968,20.9167741935484,1.92202866322182
1,2017,31.4664516129032,21.7651612903226,3.93974236314487
2,2017,31.4353571428571,22.0878571428571,3.82052158035974
3,2017,31.0783870967742,20.8654838709677,3.83901792168459
4,2017,27.4173333333333,17.1256666666667,3.56342256956884
5,2017,25.8567741935484,17.4848387096774,3.2324076642822
6,2017,23.4413333333333,12.8886666666667,3.23971914221549
7,2017,24.1138709677419,10.3612903225806,3.42469208447501
8,2017,26.8877419354839,14.158064516129,3.49908459662659
9,2017,33.2216666666667,17.0506666666667,4.2837538170969
10,2017,31.7638709677419,18.918064516129,3.92625521274948
11,2017,30.09,18059,3.84761154444533
12,2017,31.1603225806452,21.7235483870968,3.77884762363539
