,MES,ANO,TMAX,TMIN,ETP
,8,2010,30.6090322580645,13.1754838709677,2.53389181181164
,9,2010,33.2846666666667,18.3536666666667,2.04648696342768
,10,2010,29.7987096774194,16.7525806451613,1.80269897010402
,11,2010,30.4266666666667,17.5106666666667,2.0566082455966
,12,2010,31.1464516129032,21.311935483871,2.46643147434203
,1,2011,30.1016129032258,21.6809677419355,2.94289928233774
,2,2011,28.9889285714286,21.5028571428571,3.12791505836591
,3,2011,28.6058064516129,20.8993548387097,3.29792094335876
,4,2011,28.3406666666667,18404,3.61478109490184
,5,2011,25.2374193548387,14.051935483871,3.40447770939134
,6,2011,23.9616666666667,11.6416666666667,3.1655055225329
,7,2011,26.16,13.5616129032258,2.93342616568244
,8,2011,28.9858064516129,14.3229032258065,2.46606639705236
,9,2011,32.5316666666667,15702,2.18317707802938
,10,2011,31.7487096774194,18.9874193548387,1.89410906377231
,11,2011,31.8573333333333,18697,2.0945562411582
,12,2011,34.3354838709677,20.9432258064516,2.70643481658619
,1,2012,31.7883870967742,21.171935483871,3.07160330003223
,2,2012,31.9193103448276,21.4262068965517,3.66353692517865
,3,2012,32.2793548387097,19.6858064516129,4.06687865863871
,4,2012,31.1743333333333,19.4333333333333,3.86418781117689
,5,2012,26.9454838709677,15.1696774193548,3.50652374790554
,6,2012,25574,14.4413333333333,3.08610597154013
,7,2012,25.7190322580645,12.2167741935484,2.98022437910359
,8,2012,31.9341935483871,15.6441935483871,2.79298813152051
,9,2012,34208,17.0753333333333,2.16764561891815
,10,2012,33.5483870967742,20.5516129032258,2.03459607667915
,11,2012,33.6846666666667,21.9166666666667,2.13986385503923
,12,2012,33.3164516129032,22.5648387096774,2.45539084662881
,1,2013,33.2909677419355,21.4335483870968,3.07152075624886
,2,2013,32.9110714285714,21.9592857142857,3.54698416867364
,3,2013,32.2058064516129,21.0993548387097,3.78590843208843
,4,2013,28.1536666666667,17277,3.6073684184958
,5,2013,29.3190322580645,16.0045161290323,3.65623164783756
,6,2013,26804,16.1803333333333,3.33660649429453
,7,2013,25.79,11.9803225806452,2.96838097024142
,8,2013,28.9658064516129,12.378064516129,2.6216559792034
