@relation dados-climaticos-verao

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP-Pmoith numeric

@data
27.8,17.6,3.76586
29,17,3.813245
23.8,16.8,3.363385
28,17.6,3.774972
26.8,18.4,3.739125
26.4,18.4,3.703192
21.2,16.8,3.13857
26,16.6,3.51553
29,18.8,3.941166
29.4,14,3.575069
29.4,14,3.57161
29,20,4.028387
27.8,18.6,3.810614
26.8,16.8,3.576727
27.5,13.8,3.384166
27.1,18.6,3.740244
26.8,17.8,3.645692
29,18.4,3.86958
28.8,15.6,3.619823
28.4,15.6,3.582235
29.4,19.2,3.95105
28.8,14,3.47434
26.2,18.4,3.614871
26.8,17.8,3.6091
29,19.2,3.89398
30.6,16.2,3.77443
29.6,15,3.590666
30.2,16.6,3.760938
29.6,17.2,3.753891
30.6,16.8,3.794676
29.4,16.6,3.675272
27.8,18.8,3.715588
28.4,17.8,3.675935
28,19.2,3.747368
28,17.4,3.596439
28.4,18.4,3.698869
27.2,17.8,3.548261
26.4,17.8,3.476793
27.6,16.4,3.452521
27.3,18.5,3.584673
27.6,17.6,3.528549
29.2,16.2,3.534766
29.2,16.2,3.525177
28,16,3.406993
28,18.8,3.613526
29.2,17,3.556865
27.3,19.2,3.569371
28,17.8,3.505025
27.8,17,3.417938
27.2,16.4,3.315941
27.2,18.4,3.45695
28.1,17.4,3.438125
30.2,14.2,3.707473
29.2,14.2,3.624374
30.6,14.4,3.758365
30.4,13.2,3.641758
26.8,17.4,3.692156
25.2,17,3.525317
23.9,16.1,3.341708
25.6,16.4,3.508936
26.6,16.6,3.609293
22.8,16.2,3.258441
27.8,16.2,3.6762
28.3,16.4,3.734648
26.8,15.6,3.542401
26.6,15.2,3.492142
24.6,16.8,3.458546
24.2,16.6,3.408197
29,15.2,3.691913
27.8,15.2,3.591332
25.6,16.4,3.507415
26.4,16.2,3.557059
27.2,17,3.690113
25.4,17.2,3.555947
25.8,16.6,3.538601
28.2,16.7,3.746482
28.7,13.9,3.553775
29.2,12.4,3.469505
29.6,12.8,3.535286
30.2,12.6,3.567609
29.9,14.2,3.674826
29.2,14.8,3.665263
32.5,14.4,3.90543
29.8,16.4,3.845655
30.9,14.9,3.810786
32.3,14.4,3.88396
32.5,15.1,3.956956
31.7,14.6,3.846971
30.4,15.2,3.786808
29.4,16.2,3.784689
28.8,16.8,3.78245
25.6,15.2,3.382182
26.1,15.1,3.41309
28.4,17.2,3.774972
25.8,17.2,3.557133
26.9,16.6,3.595733
28.6,16.4,3.716727
27.1,16.2,3.573297
28.2,17,3.726793
28.8,16.2,3.706869
26.6,16.4,3.538691
27.8,16.2,3.617327
27.7,18.1,3.761338
27.7,16.2,3.601337
26.4,16.2,3.49069
28.2,16.4,3.650216
28.5,17.6,3.768305
28.2,17.4,3.722634
26.8,16.2,3.505684
29.6,16.2,3.728781
33.1,14,3.829104
27.4,18.2,3.701633
29,15.4,3.59866
28.6,16.2,3.625284
27.6,16.4,3.554671
28.2,16.5,3.605064
29.1,16.2,3.647021
28.8,17.6,3.728793
27.8,17.8,3.657637
27.6,17.8,3.634563
26.8,18.2,3.595375
27.4,16.8,3.524227
29.6,17.2,3.723675
29.2,17.4,3.699732
28.8,18.8,3.770715
29.4,16.2,3.604026
30.4,16.3,3.682307
27,16,3.382401
27,16,3.374055
27.2,14.8,3.287255
26.9,17.8,3.489517
28.3,17.8,3.589266
25.8,18.4,3.432
27.1,17.6,3.461195
26.4,18.8,3.489986
26.4,18.6,3.464478
27,17.4,3.408174
22.4,17.4,3.045852
23.4,15.3,2.952549
27,16.2,3.285519
24.8,16.1,3.100641
29.4,14.4,3.657372
30.6,16.4,3.925013
31.2,14,3.775069
31,16,3.925749
30,17,3.926048
27.6,16.4,3.675686
28.4,17.5,3.83461
27.9,15,3.584127
24.8,16,3.408776
26.9,14.8,3.484025
22.1,15.6,3.149835
26.8,16,3.575904
27,16.8,3.659367
27.3,15.6,3.584041
26.6,17.4,3.67575
25.2,16.6,3.491731
25,16.6,3.474742
28.4,14.4,3.574628
30.2,15.4,3.808051
28.4,17.8,3.857655
26.4,16.8,3.606627
29.5,17.1,3.889838
24.2,18.5,3.563638
22.6,17.4,3.337624
27,17.4,3.703934
28,16.9,3.74473
29.9,14.8,3.727059
31,16.4,3.951044
30,16.2,3.849818
30.6,16.8,3.948488
31.6,15.4,3.913757
30,16.2,3.845655
28.1,14.8,3.569492
26.9,16,3.56792
27.9,18,3.815636
28.2,17,3.755575
24,17.2,3.421414
23.2,15.5,3.212006
28.3,17.9,3.832219
22.8,18.2,3.398761
28.6,17.2,3.794163
27.4,17.4,3.708744
27.9,17.8,3.780487
24,19.2,3.570935
26,17.4,3.584577
24.4,17.6,3.466016
25.5,17.1,3.51242
23,17.8,3.360894
27.4,18,3.7362
29.1,14.7,3.600885
29.6,14.4,3.613513
29.6,14.4,3.609541
30.8,15.2,3.769289
24.1,17.9,3.437424
25.5,17.2,3.490383
28.4,17.2,3.722634
28.6,19.4,3.913322
27.4,17.4,3.647366
27.9,16.4,3.601471
27.5,17,3.612339
26.4,16.6,3.485189
24,16.4,3.26923
27.2,13.6,3.296149
27.8,14.6,3.419569
28.8,13.2,3.381344
29.3,14.8,3.543961
28.4,14.6,3.449088
27.2,16.6,3.506473
27.2,16.9,3.523468
28.4,17.2,3.635854
28.1,13.8,3.333803
27.2,13.8,3.255129
27,15.6,3.374632
28,12.7,3.216751
28.2,12.7,3.224975
28.4,15.6,3.461061
28,17.6,3.578067
29,16,3.522058
28.4,13.4,3.263128
28.2,13.4,3.238904
29.4,12.5,3.253412
28.8,14.6,3.360534
29.4,14.2,3.366447
28.8,15,3.372092
27.6,14.4,3.223948
27.4,15.4,3.275438
28.4,15.6,3.356903
29.8,15.2,3.422416
30,14.8,3.396302
24.4,15.8,3.356766
25.4,14.7,3.348788
23.6,16.2,3.324065
27.7,11.2,3.249184
28.4,15.3,3.650389
28.4,11.3,3.316471
29.2,10.7,3.333354
28.8,14.9,3.650964
28.4,13.3,3.48397
30.2,13.3,3.634414
31.4,14.6,3.8433
30.2,11.7,3.50071
29,15.4,3.709495
29.5,13.8,3.617458
30.8,14.1,3.750936
29.5,15.2,3.73398
29.1,15.8,3.750382
29.4,15.4,3.741666
28.4,15.1,3.63268
27.8,15.2,3.590458
27.4,13.4,3.406259
26.8,14,3.405695
26.7,13.2,3.329957
27.3,15.2,3.546225
26.1,15.2,3.445326
27.8,14.4,3.519546
27,14.6,3.468583
29.6,12.6,3.517596
27,16.4,3.616496
29,14.6,3.631943
26.6,15.7,3.522381
27.6,16.4,3.662528
25.4,15.3,3.386441
25.7,16.4,3.501386
27,16.2,3.591187
25.2,16.4,3.456458
23.8,15.4,3.255326
25.1,15.2,3.344802
22.4,17,3.268169
23.4,18.2,3.448499
25.1,15.2,3.338532
27.5,17,3.683909
27.4,19,3.838394
25.5,16.8,3.49654
28,16.4,3.667171
26.3,15.8,3.474268
22.2,13.8,2.968242
23.6,13.6,3.064345
27.6,15.6,3.555151
29.4,14.7,3.625549
29.2,17.4,3.827039
30.1,14.1,3.625948
29.9,13.8,3.580825
29.7,18.2,3.9203
29,17.6,3.809176
27.2,15.5,3.485888
28.4,17.6,3.750267
27.4,15.8,3.517103
27.1,14.2,3.357579
26.6,14,3.295752
28.4,15.8,3.58245
25.8,14.7,3.277322
27.2,14.6,3.376937
26.6,14.2,3.290528
26.8,14,3.284735
27.4,14.4,3.359128
28,15.5,3.489194
27.9,15.5,3.47445
27,15.2,3.371663
26.2,16.8,3.428547
23,16.4,3.134889
26.7,16.6,3.437734
22.8,17.3,3.17659
27.2,15.8,3.398533
27.6,15,3.359021
26,15.5,3.26441
25.8,15.4,3.232815
28.5,16,3.482925
26.7,15.2,3.270934
26.4,14.8,3.207761
26.2,14.2,3.136941
27.4,14.5,3.244386
28.1,15.6,3.374168
28,15.5,3.348996
28.5,15.1,3.346765
27.2,15.1,3.237174
27.8,13.8,3.173799
27.3,14.6,3.186649
27,14,3.108222
27.7,15.4,3.256773
26,15,3.423568
