@relation dados-climaticos-inverno

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP-Pmoith numeric

@data
23.8,7,1.711643
23.6,7.2,1.715924
25.4,6.4,1.776253
27.6,7.3,1.954691
28.2,7,1.977033
28.2,12.3,2.281325
26.8,12.2,2.203428
26.4,5.4,1.802203
27.6,5.1,1.859114
28.4,5.6,1.939352
27.8,4.5,1.848573
28.1,10.6,2.222474
26.5,9.6,2.080459
25.2,10.4,2.059023
25.6,5.8,1.822771
26.6,5.6,1.876204
27.8,8.8,2.140703
28.6,10.2,2.278171
29.2,8,2.192823
30.4,9,2.331784
29.8,9.4,2.329345
31,10.3,2.464203
29.1,12,2.462456
27.9,11.2,2.352469
25.4,8.6,2.054308
30,9.8,2.415055
29.6,10.3,2.431591
28.7,10.3,2.387102
28.4,12.1,2.489798
28.6,8.7,2.303208
28.6,10.6,2.431292
27,9.1,2.249029
27.8,8.4,2.265385
27.8,7.8,2.237879
27.5,12.2,2.506899
26.1,10.3,2.308939
26.5,9.8,2.313059
26.9,10.4,2.387595
28,16.1,2.835724
28.4,12.2,2.622561
27.4,10.8,2.478772
26.7,10.8,2.444425
28.4,8.4,2.409698
29.2,7,2.381163
30.4,6.1,2.411762
31.4,12.6,2.920449
32.1,14.2,3.086928
26,15.2,2.759203
29.1,14.2,2.912773
29.2,12.9,2.844616
30,10.9,2.775731
31.8,10.3,2.869705
32.6,12.4,3.080753
33.9,11.7,3.135345
32.2,17.4,3.425032
33.2,15.1,3.349486
32.3,14.6,3.266155
31.4,16.7,3.363768
31.3,11,2.970446
32.5,13.2,3.22241
33.3,11.1,3.143496
32.5,14.2,3.31966
32.6,15.5,3.432809
32.7,18.1,3.639792
32.4,15.8,3.466953
30.4,18.4,3.523614
31,17.4,3.508006
24,17.4,3.011897
22.6,16.8,2.876994
27.2,15.1,3.100015
24,10.1,1.848982
25.6,9.8,1.918834
24.9,9.6,1.869674
26.2,9.8,1.950827
26.6,11.8,2.081007
26,11.3,2.021782
23,13.7,1.9899
26.1,8.8,1.893157
26.2,9.7,1.948535
26.9,8.6,1.928194
26.1,7.4,1.82109
26.5,7.1,1.828292
26.1,6.2,1.759476
26.2,11.2,2.039771
24.4,13.6,2.075278
23.9,10.7,1.892367
24.2,11,1.92824
26.2,11.6,2.074205
27,12.9,2.19344
27,11.6,2.1261
27,13.1,2.21327
27.6,12.1,2.195955
27.3,14.3,2.306308
30,17,2.222913
25.4,14.2,2.206188
25.2,9.9,1.960581
26,11.2,2.08351
28.1,8,2.027582
28.6,9.4,2.140502
29.4,10.2,2.237327
30,17,2.266923
30.3,11.5,2.376482
28.6,15,2.486934
28.2,13.2,2.369378
30,17,2.297131
29.7,7.8,2.161142
30,9.6,2.290374
29.4,9.5,2.258146
29,9.8,2.260768
27.5,10.4,2.216739
27.7,12.4,2.354501
29.2,17,3.442496
29.3,10.6,2.361375
28.2,11.5,2.359056
30,17,2.386637
30,17,2.396551
28.1,13.2,2.484833
28.1,17,3.39565
30,17,2.427191
28.6,10.9,2.407214
27.8,13.8,2.546242
29.5,12.5,2.582013
26,12.2,2.358782
26.7,12.2,2.412685
27.6,12.1,2.473309
27.7,11.2,2.43435
28.6,10.6,2.464181
30.7,10.9,2.626876
31.7,12.1,2.778339
28.2,14.5,2.720871
30.4,15.4,2.931685
29.2,15.4,2.867875
24.9,15.7,2.622561
23.4,13.6,2.400905
22.2,15.8,2.477017
27.6,14.3,2.743651
26.7,18,2.940276
30,14,1.850119
26.9,12.4,2.608492
26,14.3,2.686894
28.3,13.3,2.785991
30.2,14.7,3.020405
30.8,16.8,3.216241
28.2,16.4,3.026836
27.6,17,3.040115
28.1,17.8,3.142368
27.1,17.1,3.039085
27.6,15.1,2.948566
29.1,18.4,3.294008
27.9,17,3.126873
27.8,15.8,3.04907
28.6,13.6,2.963424
30.1,16,3.250615
31,14.7,3.235535
31.5,15.9,3.36942
31.6,18.1,3.546998
31.7,16.3,3.439173
31.1,17.1,3.466953
29,17.8,3.379203
29.6,16.2,3.319559
27.3,16.7,3.20105
22.9,15.7,2.818578
29.4,7.1,1.98003
28.8,7.9,1.98996
26.3,10.9,2.016401
26,14,2.167738
25.1,12.3,2.026692
25.1,12,2.010557
24.9,11.8,1.98926
25.4,7.8,1.800127
30,17,1.800941
24.7,11.3,1.953963
25.7,11.1,1.998804
25.7,10.3,1.956992
25.7,12.8,2.094917
25.8,11.6,2.037287
25.4,13.4,2.116126
24.8,11.4,1.976976
24.2,13,2.034568
26.1,9.4,1.944674
27,12.2,2.151028
27.4,11,2.11098
28.8,12.7,2.285833
30.2,11.6,2.3071
30,17,2.312114
28.2,11.4,2.195428
27,12.8,2.211798
27,13.2,2.239615
27,13.2,2.234281
26.8,10.1,2.066708
26.6,10.4,2.078131
27,11.8,2.185565
30,17,2.259926
27.3,7.9,1.994892
25.6,8.6,1.944394
24.4,11.6,2.053432
30,17,2.289254
25.9,11.5,2.147818
26.3,13.8,2.310981
25.3,12.2,2.168915
26.5,12.2,2.246536
27.6,9.4,2.155887
28.5,9.8,2.240135
27.3,11.5,2.278171
26.4,12.1,2.269454
27.3,11.3,2.284438
30,17,2.376883
27.8,9.8,2.243439
28.5,9.4,2.270732
29.2,9.6,2.334419
30,17,2.416833
29.6,8.1,2.287627
27.2,13.8,2.498627
26.1,12.5,2.362619
27.1,8.9,2.213154
29.6,8.4,2.346432
28.5,12,2.511922
28,10.7,2.411009
26.6,12.2,2.428092
25.8,10.2,2.263024
22.6,6.4,1.831236
26,6.7,2.074239
27.3,11,2.4405
