@relation dadosClimaticos

@attribute data date yyyy-MM-dd
@attribute tmax numeric
@attribute tmin numeric
@attribute tmed numeric
@attribute etp numeric

@data
2008-10-10,30.9,14.7,22.8,6.5
2008-10-11,30.5,17.1,23.8,6
2008-10-12,32.6,18.4,25.5,8.7
2008-10-13,34.8,19.4,27.1,7.9
2008-10-14,36.3,21,28.65,7.5
2008-10-15,37.5,21,29.25,9.7
2008-10-16,37.9,22.1,30,11.1
2008-10-17,37.5,20,28.75,9.2
2008-10-18,26.7,19,22.85,1
2008-10-19,25.8,19,22.4,2.9
2008-10-20,30.2,18.4,24.3,6.1
2008-10-21,25.1,20,22.55,4.1
2008-10-22,27.8,18.8,23.3,2.7
2008-10-23,33.7,17.5,25.6,8.6
2008-10-24,35.7,19.8,27.75,8.8
2008-10-25,36.8,22.4,29.6,10
2008-10-26,37.2,21.7,29.45,11.3
2008-10-27,35.7,22.1,28.9,8.4
2008-10-28,36.4,21.9,29.15,7.8
2008-10-29,38.4,22.2,30.3,10.8
2008-10-30,30.1,20.2,25.15,5.4
2008-10-31,31.5,20.4,25.95,5.5
2008-11-01,33.6,18.5,26.05,6.6
2008-11-02,31,20.5,25.75,6
2008-11-03,32.7,20.5,26.6,7.7
2008-11-04,34.4,20.4,27.4,9.9
2008-11-05,33.4,19.4,26.4,5.5
2008-11-06,33.4,20.6,27,6
2008-11-07,25.4,19.8,22.6,1.2
2008-11-08,32.4,19.2,25.8,8.1
2008-11-09,34.4,20.5,27.45,9.2
2008-11-10,30.5,19.9,25.2,4.9
2008-11-11,29.6,20,24.8,5.1
2008-11-12,30.2,18.8,24.5,6.7
2008-11-13,30.8,17.7,24.25,5.1
2008-11-14,30.6,19.7,25.15,7.4
2008-11-15,33.3,19.2,26.25,8.7
2008-11-16,35,19.8,27.4,12.6
2008-11-17,36,20.6,28.3,12.1
2008-11-18,31.8,18.3,25.05,11.4
2008-11-19,31.8,17.6,24.7,9.7
2008-11-20,31.6,15.3,23.45,10.6
2008-11-21,32,15.9,23.95,9.8
2008-11-22,31.4,17.4,24.4,8.3
2008-11-23,31.6,18.4,25,7.5
2008-11-24,32.8,17.4,25.1,9.5
2008-11-25,33.1,17.3,25.2,10.1
2008-11-26,31.8,18.8,25.3,8.9
2008-11-27,32.6,17.3,24.95,7.7
2008-11-28,32.4,17.5,24.95,9.2
2008-11-29,31.9,18.5,25.2,6.3
2008-11-30,32.8,18.9,25.85,8.9
2008-12-01,35,18.4,26.7,10
2008-12-02,34.8,20.5,27.65,7.9
2008-12-03,28.6,18.8,23.7,7.7
2008-12-04,30.2,15.1,22.65,7.1
2008-12-05,32.6,16.5,24.55,10.1
2008-12-06,34.2,17.5,25.85,9.2
2008-12-07,34.5,19.5,27,10
2008-12-08,33.1,21,27.05,7.1
2008-12-09,35.7,19.1,27.4,9.3
2008-12-10,34.9,22,28.45,6.6
2008-12-11,29.7,20.4,25.05,4.4
2008-12-12,28.1,20.5,24.3,5
2008-12-13,28.8,16.9,22.85,6
2008-12-14,29.7,17.7,23.7,5
2008-12-15,29.4,19.5,24.45,5.4
2008-12-16,25.6,18.3,21.95,2.6
2008-12-17,30.3,18,24.15,5.1
2008-12-18,32.2,18.2,25.2,7.5
2008-12-19,32.4,18.8,25.6,10.9
2008-12-20,31.1,18.9,25,5.5
2008-12-21,30.5,18.4,24.45,5.6
2008-12-22,30.8,17.7,24.25,4.7
2008-12-23,31.6,19.2,25.4,7.3
2008-12-24,32.3,20.9,26.6,7
2008-12-25,27.7,19.8,23.75,1.4
2008-12-26,27.6,20.4,24,2.8
2008-12-27,23.2,19.2,21.2,1
2008-12-28,30.5,18.1,24.3,4
2008-12-29,32.2,22,27.1,4.7
2008-12-30,32.2,21.5,26.85,6.2
2008-12-31,30,20.8,25.4,4
2009-01-01,29.6,20,24.8,4.3
2009-01-02,29.8,20.4,25.1,2.9
2009-01-03,27.6,20.2,23.9,4.5
2009-01-04,22.8,18.8,20.8,0.3
2009-01-05,27.8,16.8,22.3,6.5
2009-01-06,30.4,16.3,23.35,6.4
2009-01-07,31.4,16.9,24.15,8.1
2009-01-08,33.4,17.6,25.5,7
2009-01-09,34.6,19.8,27.2,7.7
2009-01-10,31.5,20.4,25.95,6.7
2009-01-11,31.5,21,26.25,8.4
2009-01-12,33.8,20.6,27.2,7
2009-01-13,34.4,20.8,27.6,8.9
2009-01-14,34.3,20.3,27.3,10.9
2009-01-15,29.8,19,24.4,4.5
2009-01-16,28.7,21.1,24.9,4.7
2009-01-17,29.7,20.2,24.95,5.5
2009-01-18,29.5,20.4,24.95,2.5
2009-01-19,28.9,20,24.45,4.5
2009-01-20,30.8,22.2,26.5,4.5
2009-01-21,29.9,20.3,25.1,6.8
2009-01-22,29.4,19.8,24.6,7.6
2009-01-23,27.4,17.8,22.6,4.8
2009-01-24,29.5,19.3,24.4,4.5
2009-01-25,26.5,21.2,23.85,1.1
2009-01-26,26.6,20.3,23.45,0.8
2009-01-27,24.1,20.6,22.35,1.8
2009-01-28,27.7,20.5,24.1,6.4
